CantidadSolicitudes,tiempoEjecucion,memoriaUtilizada
63,508,16.988684686772167
5,36,12.169925001442312
83,656,14.357552004618084
17,134,5.066089190457772
94,748,12.546894459887637
43,337,8.396604781181859
5,36,-0.8300749985576878
4,25,10.643856189774723
33,270,5.076815597050832
49,395,2.6257088430644657
59,475,13.89178370321831
52,420,14.714245517666123
11,96,5.584962500721156
64,515,17.008428622070582
53,425,12.731319031025064
90,725,3.5018371849022962
70,563,15.13699111208023
46,374,9.546894459887637
46,364,10.507794640198696
99,796,3.6366246205436497
22,177,4.467605550082998
61,480,8.90689059560852
92,731,3.513727595952437
62,495,10.951284714966972
63,507,15.985841937003341
77,624,2.2854022188622487
75,602,5.233619676759702
93,749,12.54882190845875
84,671,4.390168956200185
25,206,1.6865005271832185
73,592,14.20945336562895
17,133,12.05528243550119
30,241,4.912889336229962
92,735,4.521600439723727
63,498,10.960001932068081
59,478,0.9008668079807496
95,754,11.558420713268665
37,303,14.24317398347295
23,192,4.584962500721156
29,225,6.813781191217037
53,418,0.7073591320808834
15,125,11.965784284662089
6,54,-0.24511249783653088
98,792,8.62935662007961
4,25,10.643856189774723
98,777,16.601770788407713
84,672,15.39231742277876
89,714,10.479780264029099
66,535,6.06339508128851
89,704,17.459431618637296
100,803,6.649256177517314
92,743,13.537218400538597
84,673,15.394462694610317
58,469,4.873444112515376
96,767,14.583082767502933
59,470,0.8765169465649993
34,273,16.09275714091985
54,427,14.73809225962049
39,320,15.321928094887362
11,80,1.3219280948873617
24,199,12.63662462054365
45,368,7.523561956057014
71,572,5.159871336778389
90,728,5.507794640198696
100,802,17.64745842645492
2,10,-3.6780719051126374
16,123,13.94251450533924
79,628,9.294620748891628
53,422,0.7210991887071856
7,56,5.807354922057605
43,337,13.396604781181859
18,146,6.189824558880018
39,317,15.308339030139408
11,81,5.339850002884625
49,390,6.60733031374961
79,625,9.287712379549449
45,363,11.50382573799575
12,100,-1.3561438102252747
38,304,10.247927513443585
58,470,14.876516946565
61,493,2.945443836377912
52,410,13.679480099505447
75,596,7.219168520462162
96,769,6.586839787961827
59,470,10.876516946565
30,238,2.8948177633079446
15,112,11.807354922057604
70,552,4.108524456778168
28,231,12.851749041416056
93,744,17.53915881110803
89,719,12.489847960439299
12,102,7.672425341971495
37,300,6.228818690495881
50,399,13.640244936222347
80,641,1.3241805466187415
45,361,7.49585502688717
13,103,-0.3134994728167815
79,634,11.308339030139408
23,178,13.475733430966397
50,402,10.651051691178928
