CantidadSolicitudes,tiempoEjecucion,memoriaUtilizada
12,24,11.584962500721158
30,59,2.8826430493618416
54,106,-0.27207954543680124
60,122,9.930737337562887
89,177,-1.5323944499170024
48,94,1.5545888516776376
37,76,15.247927513443585
91,182,14.507794640198696
1,1,1.0
59,118,-2.1173569506381584
46,94,-1.4454111483223624
50,102,12.672425341971495
57,116,4.857980995127572
32,66,14.044394119358454
59,118,16.882643049361842
55,112,10.807354922057604
43,87,16.44294349584873
98,194,11.599912842187127
88,176,11.459431618637296
96,191,9.57742882803575
80,160,11.321928094887362
5,9,-2.8300749985576874
17,35,0.12928301694496636
46,90,11.491853096329674
53,106,12.727920454563199
17,33,-4.955605880641547
44,89,16.475733430966397
72,145,9.179909090014934
71,142,0.14974711950468222
27,53,-0.27207954543680035
8,15,2.9068905956085187
68,137,0.09803208296052723
84,166,-2.6249605686530746
82,165,2.366322214245815
10,20,2.3219280948873626
43,87,14.442943495848729
82,162,3.3398500028846243
55,108,5.754887502163469
89,176,-2.5405683813627027
4,9,-0.8300749985576874
6,14,-3.1926450779423963
68,136,10.087462841250339
24,48,-4.415037499278843
77,156,-1.7145977811377513
16,31,-0.0458036896131242
2,4,10.0
43,86,16.426264754702096
65,131,13.03342300153745
82,165,1.3663222142458151
53,108,3.754887502163469
65,128,8.0
32,64,-2.0
61,124,9.954196310386877
19,37,2.20945336562895
2,4,2.0
89,176,2.4594316186372973
33,66,0.04439411935845339
88,177,8.467605550082997
97,193,7.592457037268081
89,178,1.4757334309663976
46,91,4.507794640198696
31,62,-1.0458036896131242
32,65,9.022367813028454
98,197,12.622051819456377
79,159,-1.6871170447156443
84,170,2.4093909361377026
88,175,15.451211111832329
11,20,8.321928094887362
66,134,17.066089190457774
18,34,8.087462841250339
94,186,7.539158811108032
86,171,17.4178525148859
96,193,8.59245703726808
4,9,5.169925001442312
22,45,7.491853096329675
40,82,3.3575520046180847
61,123,15.94251450533924
74,149,13.219168520462162
82,165,-2.633677785754185
11,24,3.584962500721157
76,151,-1.7615952606749206
31,63,3.9772799234999168
39,77,10.266786540694902
36,72,12.169925001442312
37,73,-2.8101754411199824
42,82,2.3575520046180847
7,14,-4.192645077942396
53,105,-1.2857544823338776
37,73,3.1898245588800176
45,91,-0.49220535980130364
89,176,1.4594316186372973
12,22,3.4594316186372973
26,53,12.7279204545632
64,130,7.022367813028454
80,160,13.321928094887362
12,26,8.700439718141093
49,100,6.643856189774725
46,93,2.539158811108032
7,12,-4.415037499278844
68,135,12.076815597050832
